query_id,query,query_type,anchor,extracted_anchor,expected,answer_key,system,answer,factual_accuracy,hallucination_rate,locality_awareness,llm_judge_score,llm_judge_reason,context_chars,world_size
0,What planet is Ferndale on?,hierarchical,Ferndale,Ferndale,Vortan,,baseline,"The provided information does not specify a planet for Ferndale. It only provides details about various locations and their relationships, but none of them are named Ferndale.",0,0.0,1.0,,,38390,medium
0,What planet is Ferndale on?,hierarchical,Ferndale,Ferndale,Vortan,,hgrag,Ferndale is located in Vortan (a planet).,2,0.0,1.0,,,1441,medium
1,What is the population of Wrencove?,local_fact,Wrencove,Wrencove,317k,,baseline,The provided data does not contain information about the population of Wrencove.,0,0.0,1.0,,,38390,medium
1,What is the population of Wrencove?,local_fact,Wrencove,Wrencove,317k,,hgrag,The population of Wrencove is 317k.,2,0.0,1.0,,,1257,medium
2,What does Ironhold export?,local_fact,Ironhold,Ironhold,"chemicals, timber",,baseline,"From the provided data, there is no direct information about Ironhold being mentioned in the list. Therefore, it's impossible to determine what Ironhold exports based on the given information.",0,0.333,1.0,,,38390,medium
2,What does Ironhold export?,local_fact,Ironhold,Ironhold,"chemicals, timber",,hgrag,Ironhold exports chemicals and timber.,2,0.0,1.0,,,1273,medium
3,Rockgrove is experiencing a labor strike that halts the export of coal and grain. Which cities are affected by this and why?,multi_hop,Rockgrove,Rockgrove,Kraymere Zealcross Firemark,"The cities affected are Kraymere, Zealcross, Firemark. They rely on Rockgrove for imported goods: Kraymere (imports grain from Rockgrove); Zealcross (imports coal from Rockgrove); Firemark (imports grain from Rockgrove). The labor strike halting exports of coal and grain directly disrupts their supply.",baseline,"The cities affected by the labor strike in Rockgrove, which halts the export of coal and grain, are those that have trade relations with Rockgrove. From the provided data, these include:

1. Marshcross (trade_with) - Marshcross trades with Rockgrove and relies on its imports of coal and grain.
2. Thornridge (trade_with) - Thornridge also trades with Rockgrove and is affected by the halt in exports.
3. Krayford (trade_with) - Krayford has trade relations with Rockgrove, so any disruption in Rockgrove's exports would impact Krayford.
4. Amberhold (trade_with) - Amberhold trades with Zealholm, and since Zealholm borders Rockgrove, the labor strike could indirectly affect Amberhold.
5. Moormark (borders) - Although not a direct trade partner, Moormark borders Rockgrove, so any",0,0.043,0.143,2.0,"The cities mentioned (Marshcross, Thornridge, Krayford, Amberhold, and Moormark) are not explicitly stated to be affected in the Expected Answer. Only Kraymere, Zealcross, and Firemark are named as being affected by the labor strike in Rockgrove.",38390,medium
3,Rockgrove is experiencing a labor strike that halts the export of coal and grain. Which cities are affected by this and why?,multi_hop,Rockgrove,Rockgrove,Kraymere Zealcross Firemark,"The cities affected are Kraymere, Zealcross, Firemark. They rely on Rockgrove for imported goods: Kraymere (imports grain from Rockgrove); Zealcross (imports coal from Rockgrove); Firemark (imports grain from Rockgrove). The labor strike halting exports of coal and grain directly disrupts their supply.",hgrag,"The cities affected by the labor strike in Rockgrove are Zealcross, as it imports coal, and Firemark, as it imports both grain and coal. This is because Rockgrove's exports of coal and grain to these cities have been halted due to the strike.",1,0.0,1.0,5.0,"The AI correctly identified and explained the affected cities (Zealcross and Firemark) based on their reliance on imported goods from Rockgrove, which were halted by the labor strike.",1438,medium
4,Which cities share a border with Oakcliff?,neighborhood,Oakcliff,Oakcliff,"Nethholm, Veldkeep, Edgecross",,baseline,"Based on the provided data, there is no city named ""Oakcliff"" in the list. Therefore, no cities share a border with Oakcliff because it does not exist in this dataset.",0,0.333,1.0,,,38390,medium
4,Which cities share a border with Oakcliff?,neighborhood,Oakcliff,Oakcliff,"Nethholm, Veldkeep, Edgecross",,hgrag,Nethholm and Veldkeep share a border with Oakcliff.,1,0.0,1.0,,,933,medium
5,What country is Ferndale located in?,hierarchical,Ferndale,Ferndale,Barnes,,baseline,"The given data does not include a location named ""Ferndale"". Therefore, it's impossible to determine the country where Ferndale would be located based on this information.",0,0.333,1.0,,,38390,medium
5,What country is Ferndale located in?,hierarchical,Ferndale,Ferndale,Barnes,,hgrag,Ferndale is located in Barnes.,2,0.0,1.0,,,1441,medium
6,Which cities share a border with Portford?,neighborhood,Portford,Portford,"Fernpeak, Zealcliff, Rockhold",,baseline,The cities that share a border with Portford are Jadehaven and Isledale.,0,0.0,1.0,,,38390,medium
6,Which cities share a border with Portford?,neighborhood,Portford,Portford,"Fernpeak, Zealcliff, Rockhold",,hgrag,Zealcliff and Rockhold share a border with Portford.,1,0.0,1.0,,,1449,medium
7,What planet is Veldhaven on?,hierarchical,Veldhaven,Veldhaven,Vortan,,baseline,"The provided data does not specify a planet for Veldhaven. It only provides information about the relationships between various locations, but not their planet of origin.",0,0.0,1.0,,,38390,medium
7,What planet is Veldhaven on?,hierarchical,Veldhaven,Veldhaven,Vortan,,hgrag,Veldhaven is located in Vortan (a planet).,2,0.0,1.0,,,1454,medium
8,What is the population of Ironhold?,local_fact,Ironhold,Ironhold,496k,,baseline,"The provided data does not include information about the population of any locations, so I'm unable to determine the population of Ironhold.",0,0.0,1.0,,,38390,medium
8,What is the population of Ironhold?,local_fact,Ironhold,Ironhold,496k,,hgrag,The population of Ironhold is 496k.,2,0.0,1.0,,,1273,medium
9,Which cities does Thorngrove have trade relations with?,neighborhood,Thorngrove,Thorngrove,Keldwatch,,baseline,"Based on the provided data, Thorngrove is not explicitly mentioned in the list. Therefore, it cannot be determined which cities Thorngrove has trade relations with from the given information.",0,0.333,1.0,,,38390,medium
9,Which cities does Thorngrove have trade relations with?,neighborhood,Thorngrove,Thorngrove,Keldwatch,,hgrag,Thorngrove has trade relations with Keldwatch.,2,0.0,1.0,,,1251,medium
10,What is the population of Crestwatch?,local_fact,Crestwatch,Crestwatch,480k,,baseline,The provided data does not contain information about the population of Crestwatch.,0,0.0,1.0,,,38390,medium
10,What is the population of Crestwatch?,local_fact,Crestwatch,Crestwatch,480k,,hgrag,The population of Crestwatch is 480k.,2,0.0,1.0,,,1438,medium
11,Which cities share a border with Jadehaven?,neighborhood,Jadehaven,Jadehaven,"Thornpeak, Duskport, Edgeport, Isledale",,baseline,"The cities that share a border with Jadehaven are Thornpeak, Duskport, and Edgeport.",2,0.0,1.0,,,38390,medium
11,Which cities share a border with Jadehaven?,neighborhood,Jadehaven,Jadehaven,"Thornpeak, Duskport, Edgeport, Isledale",,hgrag,"Thornpeak, Duskport, and Edgeport.",2,0.0,1.0,,,1509,medium
12,Which cities does Quencross have trade relations with?,neighborhood,Quencross,Quencross,"Lakecove, Coldstead, Nordholm",,baseline,Quencross has trade relations with the following cities: Feroth and Runegrove.,0,0.0,0.333,,,38390,medium
12,Which cities does Quencross have trade relations with?,neighborhood,Quencross,Quencross,"Lakecove, Coldstead, Nordholm",,hgrag,"Quencross trades with Lakecove, Coldstead, and Nordholm.",2,0.0,1.0,,,1442,medium
13,Which cities share a border with Lakebridge?,neighborhood,Lakebridge,Lakebridge,"Lochport, Yoreridge",,baseline,"Based on the provided data, there is no city named ""Lakebridge"" in the list. Therefore, no cities share a border with Lakebridge as it does not exist in this context.",0,0.333,1.0,,,38390,medium
13,Which cities share a border with Lakebridge?,neighborhood,Lakebridge,Lakebridge,"Lochport, Yoreridge",,hgrag,Lakebridge shares a border with Yoreridge and Lochport.,2,0.0,1.0,,,1248,medium
14,Moormark has a surplus of goods and temporarily halts the imports of any goods to save money. Which cities would take an economic hit from this?,multi_hop,Moormark,Moormark,Coldmark Glenridge,"The cities that would take an economic hit are Coldmark, Glenridge. They supply goods to Moormark: Coldmark (exports machinery to Moormark); Glenridge (exports pharmaceuticals to Moormark). With Moormark halting all imports, these trade partners lose a key market.",baseline,"The cities that would take an economic hit from Moormark halting imports of goods are:

1. Ambervale (since it has a border with Coldgrove, which is in Moormark)
2. Eastbridge (since it has a border with Coldgrove, which is in Moormark)
3. Ashfield (since it has a border with Coldgrove, which is in Moormark)
4. Jademere (since it has a border with Coldgrove, which is in Moormark)
5. Lochspire (since it has a border with Moormark and trades with it)
6. Zealholm (since it has a border with Moormark and trades with it)
7. Amberhold (since it has a border with Moormark and trades with it)
8. Coldgrove (since it is in Moormark and trades with Ambervale, Eastbridge, Ashfield, Jademere, Lochspire,",0,0.0,1.0,1.0,"The AI response does not match the expected answer as it incorrectly identifies cities that would take an economic hit. The reasoning is based on borders and trade with Moormark, but the question specifies Coldmark and Glenridge as the cities that supply goods to Moormark.",38390,medium
14,Moormark has a surplus of goods and temporarily halts the imports of any goods to save money. Which cities would take an economic hit from this?,multi_hop,Moormark,Moormark,Coldmark Glenridge,"The cities that would take an economic hit are Coldmark, Glenridge. They supply goods to Moormark: Coldmark (exports machinery to Moormark); Glenridge (exports pharmaceuticals to Moormark). With Moormark halting all imports, these trade partners lose a key market.",hgrag,"Jademere, Lochspire, Amberhold, and Zealholm would take an economic hit from Moormark halting its imports since they trade with Moormark. Glenridge might also be affected indirectly due to the trade relationship between Glenridge and Moormark.",1,0.0,1.0,1.0,"The AI response does not match the expected answer, as it names cities (Jademere, Lochspire, Amberhold, Zealholm) that were not mentioned in the scenario, and incorrectly suggests that Glenridge might be affected indirectly, when in fact it is one of the cities directly affected.",1599,medium
15,Morthal has declared war on a neighboring country. Which country may that be and why?,multi_hop,Morthal,Morthal,Braxis Qundis,"The most likely target would be Braxis, Qundis. Morthal has a hostile relationship with them, making military escalation the expected outcome.",baseline,"Based on the provided data, Morthal is not directly connected to any other region as a neighboring country. However, it shares territories with several regions through borders or contains them within its own territory. If we consider the term ""neighboring"" in a broader sense, Morthal has territorial disputes or conflicts with the following regions:

1. Glencliff: They share a border and are connected through Coldridge and Rockwood.
2. Coldridge: They also share a border with Morthal through Rockwood.
3. Rockwood: They share a border with Morthal through Coldridge.
4. Thornridge: They share a border with Morthal, and it is also connected to Morthal through Krayford.
5. Krayford: It shares a border with Morthal through Thornridge.
6. Oakwatch: It shares a border with Morthal through Thornridge.
7. Edgemoor: It shares a border with Morthal and is also connected to",0,0.179,1.0,2.0,"The AI response does not provide the specific country that Morthal has declared war on, but it provides a list of regions that Morthal shares borders or connections with.",38390,medium
15,Morthal has declared war on a neighboring country. Which country may that be and why?,multi_hop,Morthal,Morthal,Braxis Qundis,"The most likely target would be Braxis, Qundis. Morthal has a hostile relationship with them, making military escalation the expected outcome.",hgrag,"Morthal is at war with Qundis, as they are listed as hostile in the context.",1,0.0,1.0,5.0,The AI correctly identified both cities involved (Morthal and Qundis) and provided a valid reasoning based on their hostile relationship.,1005,medium
16,Islestrand is experiencing a labor strike that halts the export of fuel and electronics. Which cities are affected by this and why?,multi_hop,Islestrand,Islestrand,Nordkeep,The cities affected are Nordkeep. They rely on Islestrand for imported goods: Nordkeep (imports fuel from Islestrand). The labor strike halting exports of fuel and electronics directly disrupts their supply.,baseline,"The labor strike in Islestrand affects the following cities due to halted exports of fuel and electronics:

1. Halden - As Islestrand is a supplier of fuel and electronics to Halden, the city will experience shortages or delays in these goods.
2. Jadehaven - Jadehaven trades with Halden for fuel and electronics, so any disruption in Halden's supply chain will impact Jadehaven as well.
3. Edgeport - Edgeport also trades with Halden for fuel and electronics, making it another city affected by the labor strike in Islestrand.
4. Duskwatch - Duskwatch has a border with Marshcross, which trades with Islestrand for fuel and electronics. Any disruption in Marshcross's supply chain will affect Duskwatch indirectly.
5. Marshcross - As mentioned earlier, Marshcross trades with Islestrand for fuel and electronics, so",0,0.0,0.167,3.0,"Some correct entities are present, some wrong reasoning. The AI response includes Nordkeep (correct) but also adds Halden, Jadehaven, Edgeport, and Duskwatch (incorrect). While it's plausible that these cities might be affected indirectly due to their trade relationships, the question specifically asks about cities",38390,medium
16,Islestrand is experiencing a labor strike that halts the export of fuel and electronics. Which cities are affected by this and why?,multi_hop,Islestrand,Islestrand,Nordkeep,The cities affected are Nordkeep. They rely on Islestrand for imported goods: Nordkeep (imports fuel from Islestrand). The labor strike halting exports of fuel and electronics directly disrupts their supply.,hgrag,"Zealkeep, Nordkeep, Onyxwood, and Jadewick are affected by the labor strike in Islestrand because they trade with or border Islestrand, and it halts the export of fuel and electronics from Islestrand.",2,0.0,1.0,2.0,"While the AI response mentions cities that may have some connection to Islestrand, it does not explicitly state that Nordkeep is affected due to its reliance on imported goods from Islestrand as in the expected answer.",1265,medium
17,Which cities share a border with Thorngrove?,neighborhood,Thorngrove,Thorngrove,"Oakpeak, Stormridge, Rockmoor, Onyxholm",,baseline,"From the provided data, there is no city named ""Thorngrove"" in the list. Therefore, no cities share a border with Thorngrove as it does not exist in this dataset.",0,0.333,1.0,,,38390,medium
17,Which cities share a border with Thorngrove?,neighborhood,Thorngrove,Thorngrove,"Oakpeak, Stormridge, Rockmoor, Onyxholm",,hgrag,"Stormridge, Rockmoor, and Onyxholm share a border with Thorngrove.",2,0.0,1.0,,,1251,medium
18,What does Pinefell export?,local_fact,Pinefell,Pinefell,"textiles, silk",,baseline,"Based on the provided data, there is no information given about what Pinefell exports. The data only shows the locations and relationships between them, but not their trade goods or commodities.",0,0.0,1.0,,,38390,medium
18,What does Pinefell export?,local_fact,Pinefell,Pinefell,"textiles, silk",,hgrag,Pinefell exports textiles and silk.,2,0.0,1.0,,,1077,medium
19,Which cities does Portford have trade relations with?,neighborhood,Portford,Portford,"Glencliff, Quenhold, Ashfield",,baseline,"Portford has trade relations with the following cities:

1. Jadehaven
2. Edgeport
3. Isledale
4. Duskwatch
5. Marshcross (through trade)
6. Glencliff (through trade)
7. Highburg (through trade)",1,0.0,1.0,,,38390,medium
19,Which cities does Portford have trade relations with?,neighborhood,Portford,Portford,"Glencliff, Quenhold, Ashfield",,hgrag,"Portford trades with Zealcliff, Rockhold, Fernpeak, and Ashfield.",1,0.0,1.0,,,1449,medium
20,Valecross is experiencing a labor strike that halts the export of machinery and oil. Which cities are affected by this and why?,multi_hop,Valecross,Valecross,Colddale,The cities affected are Colddale. They rely on Valecross for imported goods: Colddale (imports oil from Valecross). The labor strike halting exports of machinery and oil directly disrupts their supply.,baseline,"The labor strike in Valecross affects the following cities due to halted exports of machinery and oil:

1. Marshcross - Marshcross trades with Valecross, so the halt in exports from Valecross will impact their supply of machinery and oil.
2. Duskwatch - Duskwatch trades with Marshcross, so the disruption in Marshcross's supply chain due to the labor strike in Valecross will affect Duskwatch's access to machinery and oil.
3. Isledale - Isledale trades with Duskwatch, so the disruption in Duskwatch's supply of machinery and oil due to the labor strike in Valecross will impact Isledale.
4. Yorespire - Yorespire trades with Marshcross, so the disruption in Marshcross's supply chain due to the labor strike in Valecross will affect Yorespire's access to machinery and oil.
5. Highburg -",0,0.0,0.167,2.0,"The AI response lists cities not mentioned in the expected answer, and while the reasoning is plausible, it does not match the provided scenario.",38390,medium
20,Valecross is experiencing a labor strike that halts the export of machinery and oil. Which cities are affected by this and why?,multi_hop,Valecross,Valecross,Colddale,The cities affected are Colddale. They rely on Valecross for imported goods: Colddale (imports oil from Valecross). The labor strike halting exports of machinery and oil directly disrupts their supply.,hgrag,"The labor strike in Valecross affects cities that trade with it, namely Colddale (as they import machinery) and Thornbay (as they import machinery and oil).",2,0.0,1.0,5.0,The AI correctly identified the city affected (Colddale) and provided a valid reason for why it is affected.,1282,medium
21,Ormis has declared war on a neighboring country. Which country may that be and why?,multi_hop,Ormis,Ormis,Sundar,"The most likely target would be Sundar. Ormis has a unfriendly relationship with Sundar, making military escalation the expected outcome.",baseline,"Based on the provided data, it is not possible to determine which specific country Ormis has declared war on as there is no mention of Ormis in the given information. However, if we assume that Ormis is one of the countries or regions listed, then we can infer potential reasons for a declaration of war based on their relationships with neighboring territories:

1. Morthal: Morthal has hostile relations with Qundis and several other neighboring territories such as Glencliff, Coldridge, Rockwood, Thornridge, Krayford, Oakwatch, Edgemoor, Weststead, Duskgate, and Keldmoor.
2. Qundis: Qundis has hostile relations with Morthal and may have declared war on it due to their ongoing conflict.
3. Feroth: Feroth has unfriendly relations with Qundis and neutral relations with Morthal. However, they share borders with several territories that are at odds with both Qundis and Morthal, such as Cold",0,0.107,0.071,1.0,The AI response does not provide the correct entities involved in the scenario.,38390,medium
21,Ormis has declared war on a neighboring country. Which country may that be and why?,multi_hop,Ormis,Ormis,Sundar,"The most likely target would be Sundar. Ormis has a unfriendly relationship with Sundar, making military escalation the expected outcome.",hgrag,"Sundar is the neighboring country of Ormis that is unfriendly, which could potentially lead to conflict or war.",2,0.0,1.0,5.0,The AI correctly identified the specific entity (Sundar) involved in the scenario and provided a valid reasoning for their answer.,1001,medium
