query_id,query,query_type,anchor,extracted_anchor,expected,answer_key,system,answer,factual_accuracy,hallucination_rate,locality_awareness,llm_judge_score,llm_judge_reason,context_chars,world_size
0,Strevon has declared war on a neighboring country. Which country may that be and why?,multi_hop,Strevon,Strevon,Korith,"The most likely target would be Korith. Strevon has a hostile relationship with Korith, making military escalation the expected outcome.",baseline,"Based on the provided data, Strevon is not mentioned in the list of countries. Therefore, it's impossible to determine which neighboring country Strevon has declared war on from the given information.",0,0.333,1.0,2.0,"The AI correctly identified that there is no information about the target country, but failed to provide a plausible reason for Strevon declaring war.",120015,large
0,Strevon has declared war on a neighboring country. Which country may that be and why?,multi_hop,Strevon,Strevon,Korith,"The most likely target would be Korith. Strevon has a hostile relationship with Korith, making military escalation the expected outcome.",hgrag,"Strevon may have declared war on Korith, as they are listed as having a hostile relationship in the context provided.",2,0.0,1.0,5.0,The AI correctly identified the country (Korith) involved in the scenario based on the given information.,1832,large
1,What is the population of Cresthaven?,local_fact,Cresthaven,Cresthaven,277k,,baseline,"The provided text does not contain information about the population of Cresthaven as it only lists locations and their relationships to each other, without providing any demographic data.",0,0.0,1.0,,,120015,large
1,What is the population of Cresthaven?,local_fact,Cresthaven,Cresthaven,277k,,hgrag,The population of Cresthaven is 277k.,2,0.0,1.0,,,1111,large
2,What country is Onyxford located in?,hierarchical,Onyxford,Onyxford,Kalden,,baseline,"Based on the provided data, there is no location named ""Onyxford"" in the given list.",0,0.0,1.0,,,120015,large
2,What country is Onyxford located in?,hierarchical,Onyxford,Onyxford,Kalden,,hgrag,Onyxford is located in Kalden.,2,0.0,1.0,,,1217,large
3,What planet is Yorkvale on?,hierarchical,Yorkvale,Yorkvale,Dravos,,baseline,"The provided text does not mention a planet named ""Yorkvale"". It appears to be a list of locations within a fictional universe, possibly for a game or book. Therefore, it's impossible to determine the planet that ""Yorkvale"" is on based on the information given.",0,0.333,1.0,,,120015,large
3,What planet is Yorkvale on?,hierarchical,Yorkvale,Yorkvale,Dravos,,hgrag,"Yorkvale is located in Bennis, which is a country on Dravos.",2,0.0,1.0,,,1435,large
4,Which cities does Xenmark have trade relations with?,neighborhood,Xenmark,Xenmark,"Fernfell, Moorcove",,baseline,"Based on the provided data, there is no city named ""Xenmark"" in the list. Therefore, it cannot be determined which cities Xenmark has trade relations with.",0,0.333,1.0,,,120015,large
4,Which cities does Xenmark have trade relations with?,neighborhood,Xenmark,Xenmark,"Fernfell, Moorcove",,hgrag,Xenmark trades with Fernfell and Moorcove.,2,0.0,1.0,,,1001,large
5,Which cities share a border with Pinecove?,neighborhood,Pinecove,Pinecove,"Ashbay, Zorcove, Eastspire, Lochmoor",,baseline,"Based on the provided data, Pinecove does not appear to be listed in this text. However, if we assume that Pinecove is located near Veldgate (since they are both contained within Halden), then its neighboring cities could potentially include those that border Veldgate, such as:

1. Holtbay
2. Darkpeak
3. Highspire
4. Amberridge
5. Eastcliff
6. Bellwick
7. Wrenhold
8. Xengrove
9. Quenmoor",0,0.067,0.083,,,120015,large
