query_id,query,query_type,anchor,extracted_anchor,expected,answer_key,system,answer,factual_accuracy,hallucination_rate,locality_awareness,llm_judge_score,llm_judge_reason,context_chars,world_size
0,What planet is Ferndale on?,hierarchical,Ferndale,Ferndale,Vortan,,baseline,Not found in context.,0,0.0,1.0,,,2121,medium
0,What planet is Ferndale on?,hierarchical,Ferndale,Ferndale,Vortan,,hgrag,Ferndale is located in Vortan (a planet).,2,0.0,1.0,,,1441,medium
1,What is the population of Wrencove?,local_fact,Wrencove,Wrencove,317k,,baseline,Not found in context.,0,0.0,1.0,,,1984,medium
1,What is the population of Wrencove?,local_fact,Wrencove,Wrencove,317k,,hgrag,The population of Wrencove is 317k.,2,0.0,1.0,,,1257,medium
2,What does Ironhold export?,local_fact,Ironhold,Ironhold,"chemicals, timber",,baseline,Not found in context.,0,0.0,1.0,,,1842,medium
2,What does Ironhold export?,local_fact,Ironhold,Ironhold,"chemicals, timber",,hgrag,Ironhold exports chemicals and timber.,2,0.0,1.0,,,1273,medium
3,Rockgrove is experiencing a labor strike that halts the export of coal and grain. Which cities are affected by this and why?,multi_hop,Rockgrove,Rockgrove,Kraymere Zealcross Firemark,"The cities affected are Kraymere, Zealcross, Firemark. They rely on Rockgrove for imported goods: Kraymere (imports grain from Rockgrove); Zealcross (imports coal from Rockgrove); Firemark (imports grain from Rockgrove). The labor strike halting exports of coal and grain directly disrupts their supply.",baseline,"Rockgrove exports coal and grain to Zealcross, Rockgrove, and Firemark. If Rockgrove's labor strike halts the export of these goods, then those cities (Zealcross, Rockgrove, and Firemark) will be affected because they import coal and/or grain from Rockgrove.",1,0.0,1.0,4.0,"The AI correctly identifies that Zealcross and Firemark are affected due to their reliance on Rockgrove for imported goods, but incorrectly includes Rockgrove itself in the list of affected cities.",2296,medium
3,Rockgrove is experiencing a labor strike that halts the export of coal and grain. Which cities are affected by this and why?,multi_hop,Rockgrove,Rockgrove,Kraymere Zealcross Firemark,"The cities affected are Kraymere, Zealcross, Firemark. They rely on Rockgrove for imported goods: Kraymere (imports grain from Rockgrove); Zealcross (imports coal from Rockgrove); Firemark (imports grain from Rockgrove). The labor strike halting exports of coal and grain directly disrupts their supply.",hgrag,"Zealcross, Firemark, and potentially Kraymere are affected by the labor strike in Rockgrove as they trade with or border Rockgrove, and Rockgrove exports coal and grain to these cities.",2,0.0,1.0,5.0,"The AI correctly identified all the cities involved (Zealcross, Firemark, and Kraymere) and provided a valid reasoning for why they are affected by the labor strike in Rockgrove.",1438,medium
4,Which cities share a border with Oakcliff?,neighborhood,Oakcliff,Oakcliff,"Nethholm, Veldkeep, Edgecross",,baseline,Oakcliff shares a border with Veldkeep and Edgecross.,1,0.0,1.0,,,2225,medium
4,Which cities share a border with Oakcliff?,neighborhood,Oakcliff,Oakcliff,"Nethholm, Veldkeep, Edgecross",,hgrag,"Nethholm, Veldkeep, and Edgecross share a border with Oakcliff.",2,0.0,1.0,,,933,medium
5,What country is Ferndale located in?,hierarchical,Ferndale,Ferndale,Barnes,,baseline,Not found in context. The provided context does not mention a city named 'Ferndale'.,0,0.0,1.0,,,2489,medium
5,What country is Ferndale located in?,hierarchical,Ferndale,Ferndale,Barnes,,hgrag,Ferndale is located in Barnes.,2,0.0,1.0,,,1441,medium
6,Which cities share a border with Portford?,neighborhood,Portford,Portford,"Fernpeak, Zealcliff, Rockhold",,baseline,Not found in context. Portford is not mentioned in the provided context.,0,0.0,1.0,,,2225,medium
6,Which cities share a border with Portford?,neighborhood,Portford,Portford,"Fernpeak, Zealcliff, Rockhold",,hgrag,Fernpeak and Rockhold share a border with Portford.,1,0.0,1.0,,,1449,medium
7,What planet is Veldhaven on?,hierarchical,Veldhaven,Veldhaven,Vortan,,baseline,Veldhaven is not specified to be on a particular planet in the provided context.,0,0.0,1.0,,,2121,medium
7,What planet is Veldhaven on?,hierarchical,Veldhaven,Veldhaven,Vortan,,hgrag,Veldhaven is located in Vortan (a planet).,2,0.0,1.0,,,1454,medium
8,What is the population of Ironhold?,local_fact,Ironhold,Ironhold,496k,,baseline,Not found in context.,0,0.0,1.0,,,1984,medium
8,What is the population of Ironhold?,local_fact,Ironhold,Ironhold,496k,,hgrag,The population of Ironhold is 496k.,2,0.0,1.0,,,1273,medium
9,Which cities does Thorngrove have trade relations with?,neighborhood,Thorngrove,Thorngrove,Keldwatch,,baseline,Not found in context.,0,0.0,1.0,,,2534,medium
9,Which cities does Thorngrove have trade relations with?,neighborhood,Thorngrove,Thorngrove,Keldwatch,,hgrag,Thorngrove has trade relations with Keldwatch.,2,0.0,1.0,,,1251,medium
10,What is the population of Crestwatch?,local_fact,Crestwatch,Crestwatch,480k,,baseline,Not found in context.,0,0.0,1.0,,,1984,medium
10,What is the population of Crestwatch?,local_fact,Crestwatch,Crestwatch,480k,,hgrag,The population of Crestwatch is 480k.,2,0.0,1.0,,,1438,medium
11,Which cities share a border with Jadehaven?,neighborhood,Jadehaven,Jadehaven,"Thornpeak, Duskport, Edgeport, Isledale",,baseline,"Duskport and Oakfield. (Based on the provided context, these are the only two cities that border Jadehaven.)",0,0.0,1.0,,,2225,medium
11,Which cities share a border with Jadehaven?,neighborhood,Jadehaven,Jadehaven,"Thornpeak, Duskport, Edgeport, Isledale",,hgrag,"Duskport, Thornpeak, Isledale, Edgeport.",2,0.0,1.0,,,1509,medium
12,Which cities does Quencross have trade relations with?,neighborhood,Quencross,Quencross,"Lakecove, Coldstead, Nordholm",,baseline,Not found in context.,0,0.0,1.0,,,2534,medium
12,Which cities does Quencross have trade relations with?,neighborhood,Quencross,Quencross,"Lakecove, Coldstead, Nordholm",,hgrag,"Quencross trades with Lakecove, Coldstead, and Nordholm.",2,0.0,1.0,,,1442,medium
13,Which cities share a border with Lakebridge?,neighborhood,Lakebridge,Lakebridge,"Lochport, Yoreridge",,baseline,Lochport and Grimvale.,1,0.0,1.0,,,2225,medium
13,Which cities share a border with Lakebridge?,neighborhood,Lakebridge,Lakebridge,"Lochport, Yoreridge",,hgrag,Lochport and Yoreridge share a border with Lakebridge.,2,0.0,1.0,,,1248,medium
14,Moormark has a surplus of goods and temporarily halts the imports of any goods to save money. Which cities would take an economic hit from this?,multi_hop,Moormark,Moormark,Coldmark Glenridge,"The cities that would take an economic hit are Coldmark, Glenridge. They supply goods to Moormark: Coldmark (exports machinery to Moormark); Glenridge (exports pharmaceuticals to Moormark). With Moormark halting all imports, these trade partners lose a key market.",baseline,"Cities that would take an economic hit from Moormark halting imports are Veldvale, Pinefell, Nethholm, Crestridge, Highgate, Edgeport, Quenpeak, Oakgate, and Thornridge as they all trade with Moormark.",0,0.083,0.3,1.0,"The provided AI response does not match the expected answer, and it lists cities that were not mentioned in the scenario.",2501,medium
14,Moormark has a surplus of goods and temporarily halts the imports of any goods to save money. Which cities would take an economic hit from this?,multi_hop,Moormark,Moormark,Coldmark Glenridge,"The cities that would take an economic hit are Coldmark, Glenridge. They supply goods to Moormark: Coldmark (exports machinery to Moormark); Glenridge (exports pharmaceuticals to Moormark). With Moormark halting all imports, these trade partners lose a key market.",hgrag,"Glenridge, Coldmark, and Amberhold would take an economic hit from Moormark halting its imports since they trade with Moormark. Additionally, Lochspire and Zealholm might also be affected indirectly due to their border connections with Moormark and Lochspire's connection with Amberhold.",2,0.091,1.0,3.0,"While the AI correctly identifies Glenridge and Coldmark as potential cities that could take an economic hit, it incorrectly includes Amberhold in the list without providing any specific reason for its inclusion. The reasoning about Lochspire and Zealholm is plausible but not enough to justify their inclusion in the initial list of directly affected cities",1599,medium
15,Morthal has declared war on a neighboring country. Which country may that be and why?,multi_hop,Morthal,Morthal,Braxis Qundis,"The most likely target would be Braxis, Qundis. Morthal has a hostile relationship with them, making military escalation the expected outcome.",baseline,"Morthal is hostile to Braxis, as stated in the context. This hostility might have led to a declaration of war.",1,0.0,1.0,5.0,The AI correctly identified both cities (Morthal and Braxis) involved in the scenario based on the provided context.,2093,medium
