query_id,query,query_type,anchor,extracted_anchor,expected,answer_key,system,answer,factual_accuracy,hallucination_rate,locality_awareness,llm_judge_score,llm_judge_reason,context_chars,world_size
0,Strevon has declared war on a neighboring country. Which country may that be and why?,multi_hop,Strevon,Strevon,Korith,"The most likely target would be Korith. Strevon has a hostile relationship with Korith, making military escalation the expected outcome.",baseline,Not found in context. The provided context does not mention any declaration of war by Strevon.,0,0.0,1.0,1.0,The question does not provide information about which country Strevon declared war on.,2345,large
0,Strevon has declared war on a neighboring country. Which country may that be and why?,multi_hop,Strevon,Strevon,Korith,"The most likely target would be Korith. Strevon has a hostile relationship with Korith, making military escalation the expected outcome.",hgrag,"Strevon may have declared war on Archus, as they are listed as neighbors in the context with a hostile relationship between their countries.",0,0.0,1.0,3.0,"While Archus is a neighboring country to Strevon, the provided scenario does not explicitly state that they have a hostile relationship. The expected answer mentions Korith due to its hostile relationship with Strevon.",1832,large
1,What is the population of Cresthaven?,local_fact,Cresthaven,Cresthaven,277k,,baseline,Not found in context.,0,0.0,1.0,,,2103,large
1,What is the population of Cresthaven?,local_fact,Cresthaven,Cresthaven,277k,,hgrag,The population of Cresthaven is 277k.,2,0.0,1.0,,,1111,large
2,What country is Onyxford located in?,hierarchical,Onyxford,Onyxford,Kalden,,baseline,Not found in context.,0,0.0,1.0,,,2396,large
2,What country is Onyxford located in?,hierarchical,Onyxford,Onyxford,Kalden,,hgrag,Onyxford is located in Kalden.,2,0.0,1.0,,,1217,large
3,What planet is Yorkvale on?,hierarchical,Yorkvale,Yorkvale,Dravos,,baseline,Not found in context.,0,0.0,1.0,,,2126,large
3,What planet is Yorkvale on?,hierarchical,Yorkvale,Yorkvale,Dravos,,hgrag,"Yorkvale is located in Bennis, which is a country on Dravos.",2,0.0,1.0,,,1435,large
4,Which cities does Xenmark have trade relations with?,neighborhood,Xenmark,Xenmark,"Fernfell, Moorcove",,baseline,Not found in context.,0,0.0,1.0,,,2589,large
4,Which cities does Xenmark have trade relations with?,neighborhood,Xenmark,Xenmark,"Fernfell, Moorcove",,hgrag,Xenmark has trade relations with Fernfell and Moorcove.,2,0.0,1.0,,,1001,large
5,Which cities share a border with Pinecove?,neighborhood,Pinecove,Pinecove,"Ashbay, Zorcove, Eastspire, Lochmoor",,baseline,Not found in context. (Pinecove is not mentioned in the provided context.),0,0.0,1.0,,,2248,large
5,Which cities share a border with Pinecove?,neighborhood,Pinecove,Pinecove,"Ashbay, Zorcove, Eastspire, Lochmoor",,hgrag,"Ashbay, Zorcove, and Eastspire.",2,0.0,1.0,,,1212,large
6,Which cities does Portmere have trade relations with?,neighborhood,Portmere,Portmere,Edgebay,,baseline,Not found in context.,0,0.0,1.0,,,2589,large
6,Which cities does Portmere have trade relations with?,neighborhood,Portmere,Portmere,Edgebay,,hgrag,Portmere has trade relations with Edgebay.,2,0.0,1.0,,,1245,large
7,What planet is Jornpeak on?,hierarchical,Jornpeak,Jornpeak,Umbriel,,baseline,Not found in context.,0,0.0,1.0,,,2126,large
7,What planet is Jornpeak on?,hierarchical,Jornpeak,Jornpeak,Umbriel,,hgrag,Jornpeak is located in Umbriel (a planet).,2,0.0,1.0,,,1228,large
8,Which cities share a border with Xenmark?,neighborhood,Xenmark,Xenmark,"Fernford, Jornfell",,baseline,Not found in context. The provided context does not mention any city named Xenmark.,0,0.0,1.0,,,2248,large
8,Which cities share a border with Xenmark?,neighborhood,Xenmark,Xenmark,"Fernford, Jornfell",,hgrag,Fernford and Jornfell share a border with Xenmark.,2,0.0,1.0,,,1001,large
9,Which cities share a border with Oakwick?,neighborhood,Oakwick,Oakwick,"Thorndale, Xarbridge, Zorbridge, Grimford",,baseline,Not found in context. The provided context does not mention any city named Oakwick.,0,0.0,1.0,,,2248,large
9,Which cities share a border with Oakwick?,neighborhood,Oakwick,Oakwick,"Thorndale, Xarbridge, Zorbridge, Grimford",,hgrag,"Thorndale, Xarbridge, and Zorbridge share a border with Oakwick.",2,0.0,1.0,,,1207,large
10,Which planet does the country Bennis belong to?,hierarchical,Bennis,Bennis,Dravos,,baseline,Not found in context.,0,0.0,1.0,,,2212,large
10,Which planet does the country Bennis belong to?,hierarchical,Bennis,Bennis,Dravos,,hgrag,The country Bennis belongs to the planet Dravos.,2,0.0,1.0,,,1840,large
11,What does Ironfell export?,local_fact,Ironfell,Ironfell,"technology, pharmaceuticals",,baseline,Not found in context.,0,0.0,1.0,,,1710,large
11,What does Ironfell export?,local_fact,Ironfell,Ironfell,"technology, pharmaceuticals",,hgrag,Ironfell exports technology and pharmaceuticals.,2,0.0,1.0,,,1087,large
12,What does Veldbay export?,local_fact,Veldbay,Veldbay,"timber, coal",,baseline,Not found in context.,0,0.0,1.0,,,1710,large
12,What does Veldbay export?,local_fact,Veldbay,Veldbay,"timber, coal",,hgrag,Veldbay exports timber and coal.,2,0.0,1.0,,,1093,large
13,Which cities does Bluehaven have trade relations with?,neighborhood,Bluehaven,Bluehaven,Jornford,,baseline,Not found in context. Bluehaven is not mentioned in the provided context.,0,0.0,1.0,,,2589,large
13,Which cities does Bluehaven have trade relations with?,neighborhood,Bluehaven,Bluehaven,Jornford,,hgrag,Bluehaven has trade relations with Jornford.,2,0.0,1.0,,,1269,large
