query_id,query,query_type,anchor,extracted_anchor,expected,answer_key,system,answer,factual_accuracy,hallucination_rate,locality_awareness,llm_judge_score,llm_judge_reason,context_chars,world_size
0,Yoremoor has a surplus of goods and temporarily halts the imports of any goods to save money. Which cities would take an economic hit from this?,multi_hop,Yoremoor,Yoremoor,Lochridge Onyxhaven,"The cities that would take an economic hit are Lochridge, Onyxhaven. They supply goods to Yoremoor: Lochridge (exports grain to Yoremoor); Onyxhaven (exports silk to Yoremoor). With Yoremoor halting all imports, these trade partners lose a key market.",baseline,"Yorewood, Onyxhaven, and Eastspire would take an economic hit from Yoremoor halting its imports since they trade with Yoremoor according to the context provided.",1,0.0,0.75,2.0,"The AI response includes cities (Yorewood, Eastspire) not mentioned in the scenario, while Onyxhaven is correct but Lochridge is missing.",2185,small
0,Yoremoor has a surplus of goods and temporarily halts the imports of any goods to save money. Which cities would take an economic hit from this?,multi_hop,Yoremoor,Yoremoor,Lochridge Onyxhaven,"The cities that would take an economic hit are Lochridge, Onyxhaven. They supply goods to Yoremoor: Lochridge (exports grain to Yoremoor); Onyxhaven (exports silk to Yoremoor). With Yoremoor halting all imports, these trade partners lose a key market.",hgrag,"Jadewick, Onyxhaven, Lochridge, and Eastspire would take an economic hit from Yoremoor's decision to halt imports, as they are the cities that trade with Yoremoor in the context provided.",2,0.0,1.0,3.0,"Only two of the cities (Lochridge and Onyxhaven) are explicitly mentioned as trading partners with Yoremoor, while Jadewick and Eastspire are not directly named in the scenario. However, the reasoning is sound in that if Yoremoor halts imports, its trade partners would be affected economically.",1708,small
1,Veldkeep has a surplus of goods and temporarily halts the imports of any goods to save money. Which cities would take an economic hit from this?,multi_hop,Veldkeep,Veldkeep,Yorkridge Veldhaven,"The cities that would take an economic hit are Yorkridge, Veldhaven. They supply goods to Veldkeep: Yorkridge (exports oil to Veldkeep); Veldhaven (exports fuel to Veldkeep). With Veldkeep halting all imports, these trade partners lose a key market.",baseline,"Cities that would take an economic hit from Veldkeep halting its imports are Oakcliff, Nethholm, Umbreholm, and Yorkridge as they all have trade relations with Veldkeep according to the provided context.",1,0.143,1.0,1.0,"The AI response does not match the expected answer, and it includes cities (Oakcliff, Nethholm, Umbreholm) that were not mentioned in the scenario.",2185,small
1,Veldkeep has a surplus of goods and temporarily halts the imports of any goods to save money. Which cities would take an economic hit from this?,multi_hop,Veldkeep,Veldkeep,Yorkridge Veldhaven,"The cities that would take an economic hit are Yorkridge, Veldhaven. They supply goods to Veldkeep: Yorkridge (exports oil to Veldkeep); Veldhaven (exports fuel to Veldkeep). With Veldkeep halting all imports, these trade partners lose a key market.",hgrag,"Umbreholm, Yorkridge, and Veldhaven would take an economic hit from Veldkeep's decision to halt imports. These cities trade with Veldkeep and import goods such as oil, fuel, chemicals, grain, and fish from it.",2,0.167,1.0,1.0,"The AI response does not match the expected answer, and there is no valid reasoning provided for the cities mentioned (Umbreholm, Yorkridge, and Veldhaven). The expected answer specifically mentions that these cities supply goods to Veldkeep, while the AI response suggests they import goods from it.",1584,small
2,What planet is Jadewick on?,hierarchical,Jadewick,Jadewick,Celenis,,baseline,Not found in context. The cities mentioned do not have any direct relation to a specific planet.,0,0.0,1.0,,,1925,small
2,What planet is Jadewick on?,hierarchical,Jadewick,Jadewick,Celenis,,hgrag,Jadewick is located in the planet Celenis.,2,0.0,1.0,,,1160,small
3,What is the population of Lochmoor?,local_fact,Lochmoor,Lochmoor,281k,,baseline,The population of Lochmoor is 281k.,2,0.0,1.0,,,2136,small
3,What is the population of Lochmoor?,local_fact,Lochmoor,Lochmoor,281k,,hgrag,The population of Lochmoor is 281k.,2,0.0,1.0,,,950,small
4,What planet is Nethholm on?,hierarchical,Nethholm,Nethholm,Vortan,,baseline,Not found in context.,0,0.0,1.0,,,1925,small
4,What planet is Nethholm on?,hierarchical,Nethholm,Nethholm,Vortan,,hgrag,Nethholm is located in Vortan (a planet).,2,0.0,1.0,,,1159,small
5,Which cities does Veldhaven have trade relations with?,neighborhood,Veldhaven,Veldhaven,"Veldkeep, Umbreholm",,baseline,Veldhaven trades with Umbreholm and Veldkeep.,2,0.0,1.0,,,2381,small
5,Which cities does Veldhaven have trade relations with?,neighborhood,Veldhaven,Veldhaven,"Veldkeep, Umbreholm",,hgrag,Veldhaven has trade relations with Veldkeep and Umbreholm.,2,0.0,1.0,,,1155,small
6,What does Umbreholm export?,local_fact,Umbreholm,Umbreholm,"medicine, fish",,baseline,Umbreholm exports medicine and fish.,2,0.0,1.0,,,2039,small
6,What does Umbreholm export?,local_fact,Umbreholm,Umbreholm,"medicine, fish",,hgrag,Umbreholm exports medicine and fish.,2,0.0,1.0,,,1632,small
7,What is the population of Umbreholm?,local_fact,Umbreholm,Umbreholm,358k,,baseline,The population of Umbreholm is 358k.,2,0.0,1.0,,,2136,small
7,What is the population of Umbreholm?,local_fact,Umbreholm,Umbreholm,358k,,hgrag,The population of Umbreholm is 358k.,2,0.0,1.0,,,1632,small
8,What country is Oakcliff located in?,hierarchical,Oakcliff,Oakcliff,Barnes,,baseline,Oakcliff is located in Barnes.,2,0.0,1.0,,,2211,small
8,What country is Oakcliff located in?,hierarchical,Oakcliff,Oakcliff,Barnes,,hgrag,Oakcliff is located in Barnes.,2,0.0,1.0,,,945,small
9,What is the population of Nethholm?,local_fact,Nethholm,Nethholm,42k,,baseline,Not found in context.,0,0.0,1.0,,,2136,small
9,What is the population of Nethholm?,local_fact,Nethholm,Nethholm,42k,,hgrag,The population of Nethholm is 42k.,2,0.0,1.0,,,1159,small
10,Which cities share a border with Veldhaven?,neighborhood,Veldhaven,Veldhaven,"Lochfield, Oakridge",,baseline,Veldhaven shares a border with Lochfield and Oakridge.,2,0.0,1.0,,,2257,small
10,Which cities share a border with Veldhaven?,neighborhood,Veldhaven,Veldhaven,"Lochfield, Oakridge",,hgrag,Lochfield and Oakridge share a border with Veldhaven.,2,0.0,1.0,,,1155,small
11,What does Lochmoor export?,local_fact,Lochmoor,Lochmoor,"electronics, pottery",,baseline,Lochmoor exports electronics and pottery.,2,0.0,1.0,,,2039,small
11,What does Lochmoor export?,local_fact,Lochmoor,Lochmoor,"electronics, pottery",,hgrag,Lochmoor exports electronics and pottery.,2,0.0,1.0,,,950,small
