query_id,query,query_type,anchor,extracted_anchor,expected,answer_key,system,answer,factual_accuracy,hallucination_rate,locality_awareness,llm_judge_score,llm_judge_reason,context_chars,world_size
0,Yoremoor has a surplus of goods and temporarily halts the imports of any goods to save money. Which cities would take an economic hit from this?,multi_hop,Yoremoor,Yoremoor,Lochridge Onyxhaven,"The cities that would take an economic hit are Lochridge, Onyxhaven. They supply goods to Yoremoor: Lochridge (exports grain to Yoremoor); Onyxhaven (exports silk to Yoremoor). With Yoremoor halting all imports, these trade partners lose a key market.",baseline,"Cities that would take an economic hit from Yoremoor halting its imports are Lochridge, Jadewick, Onyxwood, and Eastspire. These cities trade with Yoremoor and rely on its exports of technology and fuel.",1,0.25,1.0,2.0,"The AI response includes incorrect entities (Jadewick, Onyxwood) and does not provide a reason for why Eastspire would be affected, even though it is mentioned as a city that trades with Yoremoor.",5188,small
0,Yoremoor has a surplus of goods and temporarily halts the imports of any goods to save money. Which cities would take an economic hit from this?,multi_hop,Yoremoor,Yoremoor,Lochridge Onyxhaven,"The cities that would take an economic hit are Lochridge, Onyxhaven. They supply goods to Yoremoor: Lochridge (exports grain to Yoremoor); Onyxhaven (exports silk to Yoremoor). With Yoremoor halting all imports, these trade partners lose a key market.",hgrag,"Jadewick, Onyxwood, Lochmoor, and Eastspire would take an economic hit from Yoremoor's decision to halt imports.",0,0.0,1.0,1.0,"The AI response does not match the expected answer as it includes incorrect cities (Jadewick, Onyxwood, Eastspire) and does not provide any reasoning or evidence that these cities are trading partners with Yoremoor.",1708,small
1,Veldkeep has a surplus of goods and temporarily halts the imports of any goods to save money. Which cities would take an economic hit from this?,multi_hop,Veldkeep,Veldkeep,Yorkridge Veldhaven,"The cities that would take an economic hit are Yorkridge, Veldhaven. They supply goods to Veldkeep: Yorkridge (exports oil to Veldkeep); Veldhaven (exports fuel to Veldkeep). With Veldkeep halting all imports, these trade partners lose a key market.",baseline,"Nethholm, Oakcliff, Yorkridge, Umbreholm, and Veldhaven will take an economic hit from Veldkeep's decision to halt imports due to their trade relationships with it.",2,0.0,1.0,3.0,"While some of the cities mentioned (Yorkridge, Veldhaven) are correct, the AI also included cities not specified in the question (Nethholm, Oakcliff, Umbreholm). The reasoning is sound but incomplete.",5188,small
1,Veldkeep has a surplus of goods and temporarily halts the imports of any goods to save money. Which cities would take an economic hit from this?,multi_hop,Veldkeep,Veldkeep,Yorkridge Veldhaven,"The cities that would take an economic hit are Yorkridge, Veldhaven. They supply goods to Veldkeep: Yorkridge (exports oil to Veldkeep); Veldhaven (exports fuel to Veldkeep). With Veldkeep halting all imports, these trade partners lose a key market.",hgrag,"Yorkridge, Veldhaven, Umbreholm, and Yorewood would take an economic hit from Veldkeep's decision to halt imports. These cities trade with Veldkeep and import goods such as oil, fuel, chemicals, grain, and fish from it.",2,0.143,1.0,2.0,"While the reasoning about the impact of Veldkeep halting imports is correct, only Yorkridge and Veldhaven are explicitly mentioned as trading partners that export to Veldkeep (oil and fuel respectively). Umbreholm and Yorewood are not mentioned in the expected answer.",1584,small
2,What planet is Jadewick on?,hierarchical,Jadewick,Jadewick,Celenis,,baseline,Jadewick is on the planet Celenis.,2,0.0,1.0,,,5188,small
2,What planet is Jadewick on?,hierarchical,Jadewick,Jadewick,Celenis,,hgrag,"Jadewick is located in Archus, which is a country on Celenis.",2,0.0,1.0,,,1160,small
3,What is the population of Lochmoor?,local_fact,Lochmoor,Lochmoor,281k,,baseline,"The population of Lochmoor is 281,000.",0,0.0,1.0,,,5188,small
3,What is the population of Lochmoor?,local_fact,Lochmoor,Lochmoor,281k,,hgrag,The population of Lochmoor is 281k.,2,0.0,1.0,,,950,small
4,What planet is Nethholm on?,hierarchical,Nethholm,Nethholm,Vortan,,baseline,Nethholm is on the planet Vortan.,2,0.0,1.0,,,5188,small
4,What planet is Nethholm on?,hierarchical,Nethholm,Nethholm,Vortan,,hgrag,Nethholm is located in Vortan (a planet).,2,0.0,1.0,,,1159,small
